Nom;Surnom;Type;Age;Rôle;Secteur;Adresse;Latitude;Longitude;Apparence;Vêtements;Tic / Objet;Portrait;Famille;Branche;Parenté
Raymond Gagnon;Antenna;Humain;58;Pirate radio — théories du complot;La Baie;12, Chemin Saint-Anicet;48.329;-70.93;Cheveux gras, visière aluminium;Parka et sac-antenne;Radio pirate 87.9;portraits/141-raymond-gagnon-web.webp;Gagnon;complot;Célibataire — écoute Alex Tremblay
Richard Villeneuve;Rich;Humain;61;Chauffeur d’autobus — STS;La Baie;10, Rue des Iris;48.3502;-70.8824;Bedaine, casquette STS;Uniforme STS;Thermos de café;portraits/82-richard-villeneuve-web.webp;Villeneuve;bus;Célibataire
Rico Leduc;Rico;Humain;36;Homme de main — recouvrement de dettes;La Baie;88, Rue Saint-Denis;48.3173;-70.8611;Crâne rasé, jointures marquées;Chemise noire;Poings croisés;portraits/155-rico-leduc-web.webp;Santini;;Travaille pour Tony — croise Big Jo
Robert Lavoie;Bob;Humain;58;Camionneur retraité;La Baie;145, Avenue Lavoie;48.325104;-70.877376;Buriné, barbe grisonnante;Chemise carreaux, casquette;Tasse café sale;portraits/33-robert-lavoie-web.webp;Lavoie;JP;Père de JP
Rock Côté;Ti-Rock;Humain;50;Débardeur — Port de La Baie;La Baie;650, Avenue du Port;48.3309;-70.8952;Veste orange, casque;Veste de sécurité;Casque de quai;portraits/136-rock-cote-web.webp;Côté;port;Filleul de Fernand Côté
Rock Gagnon;Rocky;Humain;55;Mécanicien moto;La Baie;3904, Route de L'Anse-à-Benjamin;48.3803;-70.8819;Barbe grise, bedaine;Veste cuir Les Loups;Clé à molette;portraits/52-rock-gagnon-web.webp;Gagnon;motards;Fils de Thérèse Gagnon — frère de Karine
Roger Bontemps;;Humain;67;Retraité — ex-fonctionnaire municipal;La Baie;902, Boulevard de la Grande-Baie Sud;48.333718;-70.881891;Mince, lunettes double foyer;Veston laine;Carnet noir;portraits/05-roger-bontemps-web.webp;Bontemps;;Époux de Valette
Rosalie Girard;;Humain;23;Étudiante en soins infirmiers (Cégep de Chicoutimi);La Baie;202, Rue Bagot;48.33835;-70.88535;Chignon brun, sourire fatigué;Uniforme marine d’étudiante;Calepin de stage;;Girard;;Fille d’Anne et Louis Girard
Réal Chicoine;Chicoine;Humain;44;Sans emploi fixe — récupérateur;La Baie;118, Rue de la Fabrique;48.342587;-70.878451;Maigre, visage creusé;Manteau hiver trop grand;Dort assis;portraits/03-real-chicoine-web.webp;Chicoine;;Fils d’Hélène
Réjean Pedneault;Ti-Peche;Humain;67;Pêcheur — baie des Ha! Ha!;La Baie;20, Avenue du Port;48.3302;-70.8948;Barbe sel et poivre, tuque;Ciré jaune;Couteau à poisson;portraits/105-rejean-pedneault-web.webp;Pedneault;;Époux de Céline Pedneault
Réjean Roy;Ti-Jean;Humain;66;Retraité — ex-papetier;La Baie;76, Rue du Docteur-Desgagné;48.34355;-70.88318;Ventre, lunettes;Chemise à carreaux;Canne et journal;portraits/50-rejean-roy-web.webp;Roy;;Mari de Ginette Roy
Salvatore Martel;Sal;Humain;45;Import-export — conteneurs du port;La Baie;700, Avenue du Port;48.3307;-70.8954;Manteau camel, quai;Manteau camel;Manifestes de cargo;portraits/159-salvatore-martel-web.webp;Santini;;Relais portuaire — croise Yvan Truchon
Samuel Joseph;Samy;Humain;35;Préposé aux bénéficiaires;La Baie;162, Rue des Lilas;48.342;-70.89616;Haïtien, dreadlocks courtes;Uniforme CHSLD;Thermos café fort;portraits/56-samuel-joseph-web.webp;Joseph;;Fils de Mireille Joseph
Sarah Pelletier;;Humain;44;Barmaid — Le Coin;La Baie;86, Rue Saint-Denis;48.3175;-70.8608;Cheveux roux, piercing;T-shirt du bar;Shaker;portraits/73-sarah-pelletier-web.webp;Pelletier;bar;Épouse d’Hugo Pelletier
Serge Potvin;Pelle;Humain;57;Opérateur — déneigement municipal;La Baie;800, Avenue du Port;48.331;-70.894;Moustache, tuque;Parka orange;Clés de niveleuse;portraits/88-serge-potvin-web.webp;Potvin;;Célibataire
Solange Bouchard;La Reine de Grande-Baie;Humain;63;Souverainiste autodéclarée du quartier;La Baie;10, Rue Prince-Albert;48.314;-70.8608;Maquillage chargé, couronne plastique;Fausse fourrure;Couronne Dollarama;portraits/142-solange-bouchard-web.webp;Bouchard;couronne;Célibataire
Sonia Tremblay;;Humain;52;Préposée aux bénéficiaires;La Baie;338, Boulevard de la Grande-Baie Nord;48.33996;-70.8809;Cheveux châtains teints, fatigue;Uniforme CHSLD;Lunch Tupperware;portraits/42-sonia-tremblay-web.webp;Tremblay;Alex;Mère d’Alex Tremblay
Steve Gauthier;Stevie Chop;Humain;35;Dépeceur de voitures;La Baie;320, Chemin des Chutes;48.3263;-70.9238;Graisse, tuque;Salopette de garage;Clé à chocs;portraits/118-steve-gauthier-web.webp;Gauthier;casse;Célibataire — fournit Bobby
Steve Langlois;Le Plombier;Humain;44;Plombier;La Baie;156, Rue Cimon;48.342509;-70.8803;Gros bras, moustache;Salopette;Coffre rouillé;portraits/18-steve-langlois-web.webp;Langlois;;Époux de Josée
Stéphanie Lapointe;Steph;Humain;32;Commis chez Dollarama;La Baie;45, Rue des Iris;48.350754;-70.88295;Cheveux attachés;Polo Dollarama;Jouets;portraits/40-stephanie-lapointe-web.webp;Lapointe;Marco;Sœur de Marco
Sylvain Bouchard;Coach Bouche;Humain;48;Entraîneur — hockey junior La Baie;La Baie;300, Avenue du Port;48.3312;-70.8935;Veste d’équipe, sifflet;Manteau hockey;Sifflet au cou;portraits/131-sylvain-bouchard-web.webp;Bouchard;hockey;Célibataire
Sylvain Gagné;;Humain;40;Coiffeur — salon à domicile;La Baie;94, Rue Prince-Albert;48.31214;-70.8606;Barbe dessinée, bagues;Tablier de coiffeur;Ciseaux japonais;portraits/67-sylvain-gagne-web.webp;Tremblay;Johanne;Conjoint de Johanne Tremblay
Sylvie Gagnon;La Proprio;Humain;58;Propriétaire immobilière;La Baie;45, Rue de la Terrasse-Bellevue;48.328952;-70.893638;Bronzée Boucherville;Michael Kors;Mercedes GLK, bail;portraits/13-sylvie-gagnon-web.webp;Gagnon;immobilier;Fille de Jeanne Gagnon — ex-épouse de Bertrand
Thomas Bergeron;Tom-Tom;Humain;15;Élève du secondaire — gardien de but;La Baie;604, Avenue du Port;48.33088;-70.89545;Taches de rousseur, blond ébouriffé;Jambières de gardien;Masque relevé;;Bergeron;;Fils d’Isabelle Bergeron — petit-fils de Gilles
Thérèse Gagnon;Maman Louve;Humain;76;Retraitée — ex-motarde;La Baie;3900, Route de L'Anse-à-Benjamin;48.3801;-70.8817;Queue de cheval grise, veste cuir;Veste cuir sur cardigan;Harley parkée;portraits/164-therese-gagnon-web.webp;Gagnon;motards;Mère de Karine et Rock Gagnon
Thérèse Lacroix;;Humain;68;Retraitée — ex-sacristine;La Baie;23, Rue des Vingt-et-un;48.31348;-70.856;Cheveux blancs, petit cadre;Manteau de messe;Chapelet;portraits/54-therese-lacroix-web.webp;Lacroix;;Sœur de Lucien Lacroix
Ti-Paul Côté;Le Panier;Humain;55;Chiffonnier — chariots d’épicerie;La Baie;118, Rue de la Fabrique;48.34265;-70.8784;Peignoir taché, bottes d’hiver;Peignoir et manteau;Chariot IGA;portraits/144-ti-paul-cote-web.webp;Côté;ruelle;Célibataire — copain de Réal Chicoine
Tommy Fortin;;Humain;25;Journalier — bleuetière;La Baie;2102, Chemin Saint-Anicet;48.32855;-70.92785;Bronzé, casquette John Deere;Chemise à carreaux;Bottes crottées;portraits/101-tommy-fortin-web.webp;Fortin;;Fils d’Yves et Pauline Fortin
Tony Santini;Tony Capo;Humain;47;Lieutenant — quai et casse;La Baie;620, Avenue du Port;48.33085;-70.8951;Cou épais, veste de cuir;Veste de cuir;Cigarette au bec;portraits/154-tony-santini-web.webp;Santini;;Neveu de Vittorio — parle à Bobby Gagnon
Valette Bontemps;;Humain;65;Retraitée — ex-caissière;La Baie;902, Boulevard de la Grande-Baie Sud;48.335632;-70.880192;Permanente mauve-gris;Cardigan, bijoux bruyants;Chasse odeur;portraits/06-valette-bontemps-web.webp;Bontemps;;Épouse de Roger
Véronique Côté;Véro;Humain;31;Éducatrice en CPE;La Baie;264, Rue de la Colline;48.3419;-70.8852;Frange, couleurs vives;Chandail CPE;Autocollants;portraits/85-veronique-cote-web.webp;Côté;CPE;Collègue de Mélanie Dubé
William McKenzie;Will;Humain;28;Militaires — 3e Escadre Bagotville;La Baie;Lieu-dit : Base de Bagotville (3e Escadre);48.3305;-70.996;Coupe militaire, anglophone;Uniforme CADPAT;Dog tags;portraits/97-william-mckenzie-web.webp;McKenzie;;Célibataire
Yan Couture;;Humain;33;Musicien — guitariste de bar;La Baie;210, Rue Bagot;48.3377;-70.8861;Longs cheveux, boucle d’oreille;Chemise à fleurs;Guitare Folkway;portraits/91-yan-couture-web.webp;Couture;;Célibataire — joue au bingo de Michel
Yvan Truchon;Cartoune;Humain;50;Contrebandier de cigarettes;La Baie;1450, Route du Petit-Parc;48.305136;-70.907684;Moustache;Casquette trucker;Pontiac Grand Prix;portraits/11-yvan-truchon-web.webp;Truchon;;Fils de Cécile Truchon — conjoint de Gisèle
Yves Fortin;;Humain;58;Producteur de bleuets;La Baie;2100, Chemin Saint-Anicet;48.3285;-70.928;Bronzé, casquette John Deere;Chemise à carreaux;Seau de bleuets;portraits/70-yves-fortin-web.webp;Fortin;;Époux de Pauline Fortin
Zack Bérubé;Ti-Zack;Humain;18;Commis de nuit — beignerie;La Baie;314, Chemin des Chutes;48.32615;-70.92345;Cernes, casquette brune;Tablier sur hoodie;Café en carton;;Bérubé;;Fils de Lucie Bérubé — cadet de Kevin et Jessy
Élodie Martel;;Humain;34;Éducatrice — Musée du Fjord;La Baie;3346, Boulevard de la Grande-Baie Sud;48.3178;-70.854;Lanière, chandail;Chandail musée;Dépliant d’expo;portraits/140-elodie-martel-web.webp;Martel;;Cousine de Julie et Amélie Martel
Émile Brassard;;Humain;41;Pompier — caserne de La Baie;La Baie;50, Rue des Pompiers;48.336;-70.882;Carrure, barbe courte;T-shirt caserne;Radio portative;portraits/76-emile-brassard-web.webp;Brassard;;Époux de Marie-Claude Brassard
Émilie Gauthier;;Humain;34;Gérante Dollarama;La Baie;47, Rue des Iris;48.3509;-70.8831;Cheveux attachés, badge;Polo Dollarama;Talkie-walkie;portraits/87-emilie-gauthier-web.webp;Gauthier;;Supérieure de Stéphanie Lapointe
Éric Boucher;Boubou;Humain;37;Ferrailleur;La Baie;2408, Chemin Saint-Anicet;48.3302;-70.93245;Barbe, casque de chantier;Salopette tachée;Aimant à ferraille;portraits/47-eric-boucher-web.webp;Boucher;;Fils de Fernande — frère de Dévon
Albert Dufour;;Humain;86;Retraité — ex-conseiller;Chicoutimi;205, Rue Racine Est;48.4283;-71.0535;Cheveux blancs clairsemés, canne;Veston;Canne au parc;portraits/169-albert-dufour-web.webp;Dufour;hôtel de ville;Père du maire Gilles Dufour
André Simard;Le Chef;Humain;58;Directeur du Service de police de Saguenay;Chicoutimi;155, Rue Bégin;48.4214;-71.0572;Moustache grise, uniforme;Uniforme SPS;Insigne de poitrine;portraits/123-andre-simard-web.webp;Simard;police;Supérieur de Pierre Samson
Caroline Otis;;Humain;46;Présidente — Chambre de commerce du Saguenay;Chicoutimi;197, Rue Racine Est;48.428;-71.054;Collier de perles, manteau;Manteau tailleur;Cartes de visite;portraits/128-caroline-otis-web.webp;Otis;;Nièce de Jeanne Otis
Catherine Samson;;Humain;45;Adjointe administrative — palais de justice;Chicoutimi;147, Rue Bégin;48.42133;-71.05748;Carré brun, sérieuse;Manteau tailleur;Agenda noir;portraits/64-catherine-samson-web.webp;Samson;;Épouse de Pierre Samson
Danny Fortin;Néon;Humain;39;Propriétaire — club Le Néon;Chicoutimi;590, Rue Racine Est;48.4269;-71.0535;Chemise soie, chaîne;Chemise de soie;Néons du bar;portraits/158-danny-fortin-web.webp;Santini;;Façade du clan — croise Lady Dynamite
Denis Pedneault;Den;Humain;59;Propriétaire — radio CKRS;Chicoutimi;121, Rue Racine Est;48.4284;-71.0525;Casque autour du cou, chemise voyante;Chemise radio;Casque-micro;portraits/129-denis-pedneault-web.webp;Pedneault;;Cousin de Réjean Pedneault
Enzo Bianchi;Le Conseiller;Humain;55;Conseiller en gestion d’entreprise;Chicoutimi;198, Rue Racine Est;48.428;-71.0542;Lunettes, complet gris;Complet gris;Carnet de cuir;portraits/153-enzo-bianchi-web.webp;Santini;;Conseiller de Vittorio
François Côté;;Humain;51;Rédacteur en chef — Le Quotidien;Chicoutimi;100, Rue Racine Est;48.4277;-71.053;Manches relevées, stylo rouge;Chemise de rédaction;Stylo rouge;portraits/134-francois-cote-web.webp;Côté;presse;Patron d’Olivier Savard — ex-patron de JP
Gaétan Bossé;Le Bouquiniste;Humain;58;Bouquiniste — livres usagés;Chicoutimi;312, Rue Bossé;48.42445;-71.07605;Barbe grise, lunettes sur le front;Veste de laine sur chemise à carreaux;Livre relié sous le bras;;Bossé;;Frère de Stéphane Bossé
Gilles Dufour;Monsieur le Maire;Humain;61;Maire de Saguenay;Chicoutimi;201, Rue Racine Est;48.4282;-71.0534;Cheveux gris, veston marine;Complet, épinglette de ville;Poignée de main;portraits/121-gilles-dufour-web.webp;Dufour;hôtel de ville;Fils d’Albert Dufour — maire de Saguenay
Hélène Samson;;Humain;71;Retraitée — ex-secrétaire de palais;Chicoutimi;149, Rue Bégin;48.4213;-71.0574;Cheveux soignés, manteau beige;Manteau beige;Sac à main;portraits/168-helene-samson-web.webp;Samson;;Mère de Pierre Samson
Isabelle Gagné;;Humain;54;Députée — Assemblée nationale;Chicoutimi;145, Rue Racine Est;48.4279;-71.0531;Carré blond, blazer rouge;Blazer rouge;Épinglette fleurdelisé;portraits/122-isabelle-gagne-web.webp;Gagné;politique;Célibataire
Jonathan Roy;Johnny Fake;Humain;41;Arnaqueur — fausses identités;Chicoutimi;1186, Boulevard Talbot;48.3986;-71.0675;Cheveux gominés, sourire;Complet cheap;Trois cellulaires;portraits/119-jonathan-roy-web.webp;Roy;arnaque;Célibataire — croise Alex Tremblay
Julien Gagné;Le Volant;Humain;34;Chauffeur de voiture de ville;Chicoutimi;1188, Boulevard Talbot;48.3983;-71.0678;Complet noir, oreillette;Complet noir;VUS noir;portraits/157-julien-gagne-web.webp;Santini;;Chauffeur de Vittorio
Justin Chen;Junior Talbot;Humain;21;Étudiant en administration (Cégep de Chicoutimi);Chicoutimi;1180, Boulevard Talbot;48.398223;-71.067636;Métis, Moncler propre;Moncler noir;Paye trop cher;portraits/26-justin-chen-web.webp;Chen;;Fils de Mei
Jérémie Côté;Ti-Poste;Humain;31;Facteur — Postes Canada;Chicoutimi;145, Rue Sainte-Anne;48.42915;-71.06835;Barbe taillée, joues rouges;Parka de facteur à bandes;Sacoche de courrier;;Côté;poste;Neveu d’Alain Côté
Laurie Lavoie;;Humain;24;Étudiante en psychologie (UQAC);Chicoutimi;555, Boulevard de l'Université;48.421623;-71.075662;Cheveux longs châtains, hoodie UQAC;Hoodie UQAC;Livre psycho;portraits/36-laurie-lavoie-web.webp;Lavoie;JP;Sœur de JP
Lise Gauthier;;Humain;62;Infirmière clinicienne — CLSC;Chicoutimi;222, Rue du Havre;48.42930;-71.05445;Cheveux blancs courts, lunettes à chaînette;Cardigan bourgogne sur uniforme;Tensiomètre;;Gauthier;;Tante de Steve et Chantal Gauthier
Louise Villeneuve;;Humain;50;Juge — Cour du Québec;Chicoutimi;227, Rue Racine Est;48.4275;-71.0542;Regard sévère, toge;Toge;Marteau de bois;portraits/127-louise-villeneuve-web.webp;Villeneuve;palais;Collègue de Catherine Samson
Maria Santini;Donna Maria;Humain;59;Matriarche — restaurant familial;Chicoutimi;200, Rue Racine Est;48.42815;-71.0543;Cheveux sombres, perles;Robe noire;Rosaire au poignet;portraits/152-maria-santini-web.webp;Santini;;Épouse de Vittorio
Marie-Ève Boucher;La Plume;Humain;36;Journaliste — quotidien régional;Chicoutimi;412, Rue Jacques-Cartier Ouest;48.42680;-71.06990;Cheveux courts noirs, regard vif;Trench, cordon de presse;Calepin et téléphone;;Bossé;;Conjointe de Stéphane Bossé — cousine de Normand Boucher
Mei Chen;;Humain;48;Préposée d’hôtel;Chicoutimi;1182, Boulevard Talbot;48.39835;-71.06775;Chinoise, chignon, calme;Uniforme hôtel;Badges de chambre;portraits/63-mei-chen-web.webp;Chen;;Mère de Justin Chen
Mgr Paul Tremblay;Monseigneur;Humain;68;Évêque — diocèse de Chicoutimi;Chicoutimi;602, Rue Racine Est;48.4268;-71.0538;Cheveux blancs, col romain;Soutane, rabat violet;Anneau pastoral;portraits/126-mgr-paul-tremblay-web.webp;Tremblay;Église;Supérieur de Lucien Lacroix
Nico Santini;Nico;Humain;28;Préposé à la sécurité — restaurant;Chicoutimi;202, Rue Racine Est;48.4282;-71.0546;Cheveux gominés, veste cuir;Veste de cuir;Sourire de défi;portraits/160-nico-santini-web.webp;Santini;;Fils de Vittorio et Maria
Olivier Savard;;Humain;36;Journaliste — Le Quotidien;Chicoutimi;100, Rue Racine Est;48.4278;-71.0529;Barbe, sacoche;Manteau de ville;Carnet spiralé;portraits/78-olivier-savard-web.webp;Savard;;Célibataire — ex-collègue de JP
Patrick Lapointe;Pat;Humain;42;Entrepreneur en construction;Chicoutimi;1250, Boulevard Talbot;48.3985;-71.06276;Polo construction;Polo construction;Devis 400k;portraits/39-patrick-lapointe-web.webp;Lapointe;Marco;Frère de Marco
Paul-André Côté;Le Chiffre;Humain;41;Comptable — sociétés-écrans;Chicoutimi;1252, Boulevard Talbot;48.39855;-71.0629;Maigre, lunettes cheap;Chemise et classeur;Tableurs;portraits/156-paul-andre-cote-web.webp;Santini;;Comptable du clan — croise Bertrand Gagnon
Pierre Samson;L'Enquêteur;Humain;47;Policier — Service de police de Saguenay, stupéfiants;Chicoutimi;145, Rue Bégin;48.421205;-71.057355;Cernes violacés;Pardessus brun-beige;Clique Bic bleu;portraits/07-pierre-samson-web.webp;Samson;;Fils d’Hélène Samson — époux de Catherine
Sofia Santini;Sofi;Humain;16;Élève du secondaire — aide au restaurant familial;Chicoutimi;204, Rue Racine Est;48.42825;-71.05475;Cheveux noirs ondulés, sourire en coin;Tablier noir de service;Cabaret à deux mains;;Santini;;Fille de Nico Santini — petite-fille de Vittorio et Maria
Sophie Labbé;;Humain;44;Psychologue — clinique UQAC;Chicoutimi;555, Boulevard de l'Université;48.4215;-71.0755;Chignon, lunettes;Cardigan;Carnet de notes;portraits/104-sophie-labbe-web.webp;Labbé;;Célibataire — collègue de Laurie Lavoie
Stéphane Bossé;Steph Patate;Humain;45;Cuisinier — casse-croûte;Chicoutimi;410, Rue Jacques-Cartier Ouest;48.42675;-71.07005;Cheveux ras, avant-bras tatoués;Tablier blanc taché;Spatule à la main;;Bossé;;Frère de Gaétan Bossé — conjoint de Marie-Ève Boucher
Valentina Rojas;;Humain;40;Épicière — produits latino-américains;Chicoutimi;318, Rue Bossé;48.42450;-71.07585;Longs cheveux noirs, anneaux dorés;Tablier vert sur chandail;Caisse de plantains;;Rojas;;Célibataire
Vittorio Santini;Don Vittorio;Humain;64;Homme d’affaires — restauration et bars;Chicoutimi;200, Rue Racine Est;48.4281;-71.0545;Cheveux argentés gominés, chevalière;Manteau noir;Chevalière en or;portraits/151-vittorio-santini-web.webp;Santini;;Époux de Maria — tient Dévon à distance
Éric Simard;Ti-Eric;Humain;22;Étudiant — Cégep de Chicoutimi;Chicoutimi;1184, Boulevard Talbot;48.3984;-71.0674;Casquette, jeans;Hoodie cégep;Skateboard;portraits/100-eric-simard-web.webp;Chen;;Colocataire de Justin Chen
Antoine Lefèvre;Le Français;Humain;28;Étudiant en cinéma et télévision (Cégep de Jonquière — ATM);Jonquière;1125, Rue Saint-Dominique;48.421279;-71.244586;Barbe hipster;Friperie, caméra Sony;Veut docu raw;portraits/20-antoine-lefevre-web.webp;Lefèvre;;Frère de Camille
Audrey Lavoie;;Humain;29;Apprentie électricienne — aluminerie Rio Tinto Arvida;Jonquière;2135, Rue Davis;48.42455;-71.18220;Tresse blonde, lunettes de sécurité;Manteau orange haute visibilité;Glacière à lunch;;Lavoie;Arvida;Fille de Fernand Lavoie — collègue de Nicolas Gagné
Benoit Larouche;;Humain;52;Enseignant — Cégep de Jonquière (ATM);Jonquière;2505, Rue Saint-Hubert;48.416;-71.253;Lunettes, barbe grise;Chemise et cardigan;Clap de cinéma;portraits/86-benoit-larouche-web.webp;Larouche;;Prof d’Antoine Lefèvre
Camille Lefèvre;;Humain;26;Étudiante en communications (UQAC);Jonquière;1127, Rue Saint-Dominique;48.4214;-71.2447;Carré brun, appareil photo;Manteau friperie;Pentax vintage;portraits/65-camille-lefevre-web.webp;Lefèvre;;Sœur d’Antoine Lefèvre
Dany Aubin;;Humain;32;Soudeur;Jonquière;2147, Boulevard Harvey;48.41282;-71.24145;Brûlé de soudeur, casque relevé;Manteau de soudeur;Masque de soudure;portraits/66-dany-aubin-web.webp;Aubin;;Frère de Sam Aubin
Fernand Lavoie;Ti-Fer;Humain;67;Retraité — ex-opérateur de cuves à l’aluminerie;Jonquière;2131, Rue Davis;48.42440;-71.18225;Casquette plate, mains larges;Veste de laine à carreaux;Pipe éteinte;;Lavoie;Arvida;Père d’Audrey Lavoie — cousin éloigné de Mathieu Lavoie
Gérald Tremblay;Le Syndic;Humain;54;Délégué syndical — aluminerie;Jonquière;3324, Rue Price;48.4258;-71.2404;Manteau de travail, épinglette;Manteau d’usine;Cartable de griefs;portraits/137-gerald-tremblay-web.webp;Tremblay;syndicat;Collègue de Mathieu Lavoie
Jade Boivin;;Humain;12;Élève du primaire — patineuse artistique;Jonquière;2350, Rue Sainte-Famille;48.4293;-71.2348;Chignon serré, sourire édenté;Veston d’entraînement mauve;Protège-lames;;Boivin;;Nièce de France et Maxime Boivin
Jean-Marc Fortin;;Humain;57;Directeur d’usine — Rio Tinto Arvida;Jonquière;1, Rue des Alumineries;48.4265;-71.182;Cheveux argentés, manteau;Manteau et casque blanc;Casque sous le bras;portraits/125-jean-marc-fortin-web.webp;Fortin;industrie;Patron de Mathieu Lavoie et Nicolas Gagné
Ludovic Larouche;Ludo;Humain;19;Étudiant en cinéma et télévision (Cégep de Jonquière — ATM);Jonquière;2507, Rue Saint-Hubert;48.41615;-71.25285;Boucles, lunettes rondes;Veste en velours côtelé;Caméscope à l’épaule;;Larouche;;Fils de Benoit Larouche
Marc Picard;L’Arpenteur;Humain;47;Arpenteur-géomètre;Jonquière;1220, Rue du Vieux-Pont;48.41130;-71.26790;Innu de Mashteuiatsh, cheveux longs attachés;Dossard orange sur polar;Station totale sur trépied;;Picard;;Célibataire — croise William McKenzie
Mathieu Lavoie;Mat;Humain;35;Technicien à l'aluminerie Rio Tinto — Arvida;Jonquière;3320, Rue Price;48.425907;-71.240752;Propre, polo Rio Tinto;Polo Rio Tinto;Boîte à lunch;portraits/35-mathieu-lavoie-web.webp;Lavoie;JP;Frère aîné de JP
Mélissa Harvey;;Humain;26;Étudiante en cinéma et télévision (Cégep de Jonquière — ATM);Jonquière;1129, Rue Saint-Dominique;48.42135;-71.24465;Chignon brouillon, manteau friperie;Manteau friperie;Perche micro;portraits/110-melissa-harvey-web.webp;Harvey;;Nièce de François Harvey
Nancy Simard;Nancy Ciseaux;Humain;52;Coiffeuse — propriétaire de salon;Jonquière;3812, Rue Saint-Hubert;48.41605;-71.24530;Blond platine, grosses boucles d’oreilles;Sarrau noir de coiffeuse;Ciseaux et peigne;;Simard;salon;Célibataire — voisine de Benoit Larouche
Nicolas Gagné;;Humain;37;Technicien — aluminerie Rio Tinto Arvida;Jonquière;3322, Rue Price;48.426;-71.2405;Propre, lunettes de sécurité;Polo Rio Tinto;Casque blanc;portraits/94-nicolas-gagne-web.webp;Gagné;Arvida;Collègue de Mathieu Lavoie
Sam Aubin;Ink;Humain;29;Tatoueur;Jonquière;2145, Boulevard Harvey;48.412694;-71.241325;Cheveux bleus, full tattoos;Tablier noir;Efface tattoos gang;portraits/24-sam-aubin-web.webp;Aubin;;Frère de Dany
